valuations_metrics,financials,stock_statistics,stock_price_summary,dividends_and_splits,symbol,name,currency,exchange,mic_code,exchange_timezone
"{'market_capitalization': 3040090259456, 'enterprise_value': 3070464622592, 'trailing_pe': 37.026245, 'forward_pe': 30.624254, 'peg_ratio': 30.624254, 'price_to_sales_ttm': 13.358161, 'price_to_book_mrq': 12.761697, 'enterprise_to_revenue': 13.492, 'enterprise_to_ebitda': 25.927}","{'fiscal_year_ends': '2023-06-30', 'most_recent_quarter': '2023-12-31', 'profit_margin': 0.36269, 'operating_margin': 0.43585998, 'return_on_assets_ttm': 0.1519, 'return_on_equity_ttm': 0.39174, 'income_statement': {'revenue_ttm': 227583000576, 'revenue_per_share_ttm': 30.612, 'quarterly_revenue_growth': 0.176, 'gross_profit_ttm': 146052000000, 'ebitda': 120929000000, 'net_income_to_common_ttm': 82541002752, 'diluted_eps_ttm': 11.05, 'quarterly_earnings_growth_yoy': 0.332}, 'balance_sheet': {'total_cash_mrq': 80981999616, 'total_cash_per_share_mrq': 10.899, 'total_debt_mrq': 111358001152, 'total_debt_to_equity_mrq': 46.736, 'current_ratio_mrq': 1.218, 'book_value_per_share_mrq': 32.06}, 'cash_flow': {'operating_cash_flow_ttm': 102646996992, 'levered_free_cash_flow_ttm': 58680999936}}","{'shares_outstanding': 7430439936, 'float_shares': 7414535095, 'avg_10_volume': 19562330, 'avg_90_volume': 23067580, 'shares_short': 42451775, 'short_ratio': 1.69, 'short_percent_of_shares_outstanding': 0.0057, 'percent_held_by_insiders': 0.00054000004, 'percent_held_by_institutions': 0.73826}","{'fifty_two_week_low': 245.73, 'fifty_two_week_high': 420.82, 'fifty_two_week_change': 39.42, 'beta': 0.89, 'day_50_ma': 397.3624, 'day_200_ma': 354.2496}","{'forward_annual_dividend_rate': 3, 'forward_annual_dividend_yield': 0.0073165378143062705, 'trailing_annual_dividend_rate': 2.8600000000000003, 'trailing_annual_dividend_yield': 0.006975099382971979, '5_year_average_dividend_yield': 0.97, 'payout_ratio': 0.2523, 'dividend_date': '2024-03-14', 'ex_dividend_date': '2024-02-14', 'last_split_factor': '2-for-1 split', 'last_split_date': '2003-02-18'}",MSFT,Microsoft Corp,USD,NASDAQ,XNGS,America/New_York
"{'market_capitalization': 2609681006592, 'enterprise_value': 2644617986048, 'trailing_pe': 26.323988, 'forward_pe': 23.603352, 'peg_ratio': 23.603352, 'price_to_sales_ttm': 6.765985, 'price_to_book_mrq': 35.25975, 'enterprise_to_revenue': 6.857, 'enterprise_to_ebitda': 20.326}","{'fiscal_year_ends': '2023-09-30', 'most_recent_quarter': '2023-12-31', 'profit_margin': 0.26163, 'operating_margin': 0.33764, 'return_on_assets_ttm': 0.21181, 'return_on_equity_ttm': 1.5426899, 'income_statement': {'revenue_ttm': 385706000384, 'revenue_per_share_ttm': 24.648, 'quarterly_revenue_growth': 0.021, 'gross_profit_ttm': 169148000000, 'ebitda': 132867000000, 'net_income_to_common_ttm': 100912996352, 'diluted_eps_ttm': 6.42, 'quarterly_earnings_growth_yoy': 0.131}, 'balance_sheet': {'total_cash_mrq': 73100001280, 'total_cash_per_share_mrq': 4.734, 'total_debt_mrq': 108040003584, 'total_debt_to_equity_mrq': 145.803, 'current_ratio_mrq': 1.073, 'book_value_per_share_mrq': 4.793}, 'cash_flow': {'operating_cash_flow_ttm': 116433002496, 'levered_free_cash_flow_ttm': 86563127296}}","{'shares_outstanding': 15441899520, 'float_shares': 15407600024, 'avg_10_volume': 71609590, 'avg_90_volume': 60322310, 'shares_short': 97665956, 'short_ratio': 1.71, 'short_percent_of_shares_outstanding': 0.0063, 'percent_held_by_insiders': 0.059359998, 'percent_held_by_institutions': 0.56675}","{'fifty_two_week_low': 147.61, 'fifty_two_week_high': 199.62, 'fifty_two_week_change': 13.293, 'beta': 1.289, 'day_50_ma': 185.9526, 'day_200_ma': 183.9148}","{'forward_annual_dividend_rate': 0.96, 'forward_annual_dividend_yield': 0.005601590384870105, 'trailing_annual_dividend_rate': 0.96, 'trailing_annual_dividend_yield': 0.005601590384870105, '5_year_average_dividend_yield': 0.76, 'payout_ratio': 0.14770001, 'dividend_date': '2024-02-15', 'ex_dividend_date': '2024-02-09', 'last_split_factor': '4-for-1 split', 'last_split_date': '2020-08-31'}",AAPL,Apple Inc,USD,NASDAQ,XNGS,America/New_York
"{'market_capitalization': 2316725125120, 'enterprise_value': 2301797072896, 'trailing_pe': 77.54728, 'forward_pe': 31.024103, 'peg_ratio': 31.024103, 'price_to_sales_ttm': 38.027725, 'price_to_book_mrq': 53.129803, 'enterprise_to_revenue': 37.783, 'enterprise_to_ebitda': 66.757}","{'fiscal_year_ends': '2024-01-28', 'most_recent_quarter': '2024-01-31', 'profit_margin': 0.48849, 'operating_margin': 0.61592996, 'return_on_assets_ttm': 0.38551, 'return_on_equity_ttm': 0.91458, 'income_statement': {'revenue_ttm': 60921999360, 'revenue_per_share_ttm': 24.675, 'quarterly_revenue_growth': 2.653, 'gross_profit_ttm': 44301000000, 'ebitda': 35583000000, 'net_income_to_common_ttm': 29760000000, 'diluted_eps_ttm': 11.95, 'quarterly_earnings_growth_yoy': 7.688}, 'balance_sheet': {'total_cash_mrq': 25984000000, 'total_cash_per_share_mrq': 10.394, 'total_debt_mrq': 11056000000, 'total_debt_to_equity_mrq': 25.725, 'current_ratio_mrq': 4.171, 'book_value_per_share_mrq': 17.442}, 'cash_flow': {'operating_cash_flow_ttm': 28089999360, 'levered_free_cash_flow_ttm': 19866875904}}","{'shares_outstanding': 2500000000, 'float_shares': 2396950000, 'avg_10_volume': 54214840, 'avg_90_volume': 53193533, 'shares_short': 28139408, 'short_ratio': 0.59, 'short_percent_of_shares_outstanding': 0.0119, 'percent_held_by_insiders': 0.039920002, 'percent_held_by_institutions': 0.68018997}","{'fifty_two_week_low': 222.97, 'fifty_two_week_high': 968.461, 'fifty_two_week_change': 76.255, 'beta': 1.725, 'day_50_ma': 644.2404, 'day_200_ma': 492.7326}","{'forward_annual_dividend_rate': 0.16, 'forward_annual_dividend_yield': 0.00016555263539101464, 'trailing_annual_dividend_rate': 0.16, 'trailing_annual_dividend_yield': 0.00016555263539101464, '5_year_average_dividend_yield': 0.14, 'payout_ratio': 0.0134000005, 'dividend_date': '2024-03-27', 'ex_dividend_date': '2024-03-05', 'last_split_factor': '4-for-1 split', 'last_split_date': '2021-07-20'}",NVDA,NVIDIA Corp,USD,NASDAQ,XNGS,America/New_York
"{'market_capitalization': 1836700139520, 'enterprise_value': 1911490740224, 'trailing_pe': 60.972416, 'forward_pe': 34.069366, 'peg_ratio': 34.069366, 'price_to_sales_ttm': 3.195456, 'price_to_book_mrq': 9.094275, 'enterprise_to_revenue': 3.326, 'enterprise_to_ebitda': 22.353}","{'fiscal_year_ends': '2023-12-31', 'most_recent_quarter': '2023-12-31', 'profit_margin': 0.05293, 'operating_margin': 0.07525, 'return_on_assets_ttm': 0.04651, 'return_on_equity_ttm': 0.1749, 'income_statement': {'revenue_ttm': 574784995328, 'revenue_per_share_ttm': 55.783, 'quarterly_revenue_growth': 0.139, 'gross_profit_ttm': 93805000000, 'ebitda': 88287000000, 'net_income_to_common_ttm': 30424999936, 'diluted_eps_ttm': 2.9, 'quarterly_earnings_growth_yoy': 37.216}, 'balance_sheet': {'total_cash_mrq': 86780002304, 'total_cash_per_share_mrq': 8.354, 'total_debt_mrq': 161573994496, 'total_debt_to_equity_mrq': 80.037, 'current_ratio_mrq': 1.045, 'book_value_per_share_mrq': 19.443}, 'cash_flow': {'operating_cash_flow_ttm': 84946001920, 'levered_free_cash_flow_ttm': 45475749888}}","{'shares_outstanding': 10387399680, 'float_shares': 9220878372, 'avg_10_volume': 38989590, 'avg_90_volume': 48439797, 'shares_short': 67064644, 'short_ratio': 1.32, 'short_percent_of_shares_outstanding': 0.0085, 'percent_held_by_insiders': 0.091850005, 'percent_held_by_institutions': 0.62812}","{'fifty_two_week_low': 88.12, 'fifty_two_week_high': 180.14, 'fifty_two_week_change': 49.209, 'beta': 1.171, 'day_50_ma': 162.2982, 'day_200_ma': 141.08345}","{'forward_annual_dividend_rate': None, 'forward_annual_dividend_yield': None, 'trailing_annual_dividend_rate': 0, 'trailing_annual_dividend_yield': 0, '5_year_average_dividend_yield': None, 'payout_ratio': 0, 'dividend_date': None, 'ex_dividend_date': None, 'last_split_factor': '20-for-1 split', 'last_split_date': '2022-06-06'}",AMZN,Amazon.com Inc,USD,NASDAQ,XNGS,America/New_York
"{'market_capitalization': 1675624579072, 'enterprise_value': 1589697576960, 'trailing_pe': 23.12909, 'forward_pe': 17.184143, 'peg_ratio': 17.184143, 'price_to_sales_ttm': 5.451065, 'price_to_book_mrq': 5.9086313, 'enterprise_to_revenue': 5.172, 'enterprise_to_ebitda': 15.87}","{'fiscal_year_ends': '2023-12-31', 'most_recent_quarter': '2023-12-31', 'profit_margin': 0.24007, 'operating_margin': 0.28849, 'return_on_assets_ttm': 0.14366001, 'return_on_equity_ttm': 0.27356002, 'income_statement': {'revenue_ttm': 307393986560, 'revenue_per_share_ttm': 24.338, 'quarterly_revenue_growth': 0.135, 'gross_profit_ttm': 174062000000, 'ebitda': 100032000000, 'net_income_to_common_ttm': 73795002368, 'diluted_eps_ttm': 5.81, 'quarterly_earnings_growth_yoy': 0.518}, 'balance_sheet': {'total_cash_mrq': 110916001792, 'total_cash_per_share_mrq': 8.921, 'total_debt_mrq': 29866999808, 'total_debt_to_equity_mrq': 10.54, 'current_ratio_mrq': 2.097, 'book_value_per_share_mrq': 22.743}, 'cash_flow': {'operating_cash_flow_ttm': 101745999872, 'levered_free_cash_flow_ttm': 58657751040}}","{'shares_outstanding': 5893000192, 'float_shares': 11093344250, 'avg_10_volume': 38549760, 'avg_90_volume': 34625377, 'shares_short': 49727569, 'short_ratio': 1.57, 'short_percent_of_shares_outstanding': 0.0084, 'percent_held_by_insiders': 0.0027700001, 'percent_held_by_institutions': 0.80544}","{'fifty_two_week_low': 89.42, 'fifty_two_week_high': 153.78, 'fifty_two_week_change': 33.873, 'beta': 1.044, 'day_50_ma': 142.3046, 'day_200_ma': 132.9258}","{'forward_annual_dividend_rate': None, 'forward_annual_dividend_yield': None, 'trailing_annual_dividend_rate': 0, 'trailing_annual_dividend_yield': 0, '5_year_average_dividend_yield': None, 'payout_ratio': 0, 'dividend_date': None, 'ex_dividend_date': None, 'last_split_factor': '20-for-1 split', 'last_split_date': '2022-07-18'}",GOOGL,Alphabet Inc,USD,NASDAQ,XNGS,America/New_York
"{'market_capitalization': 1305782386688, 'enterprise_value': 1278300782592, 'trailing_pe': 34.49091, 'forward_pe': 22.317646, 'peg_ratio': 22.317646, 'price_to_sales_ttm': 9.679489, 'price_to_book_mrq': 8.563905, 'enterprise_to_revenue': 9.476, 'enterprise_to_ebitda': 20.826}","{'fiscal_year_ends': '2023-12-31', 'most_recent_quarter': '2023-12-31', 'profit_margin': 0.28983, 'operating_margin': 0.43710998, 'return_on_assets_ttm': 0.15109, 'return_on_equity_ttm': 0.28039, 'income_statement': {'revenue_ttm': 134901997568, 'revenue_per_share_ttm': 52.409, 'quarterly_revenue_growth': 0.247, 'gross_profit_ttm': 108943000000, 'ebitda': 59418000000, 'net_income_to_common_ttm': 39097999360, 'diluted_eps_ttm': 14.85, 'quarterly_earnings_growth_yoy': 2.012}, 'balance_sheet': {'total_cash_mrq': 65402998784, 'total_cash_per_share_mrq': 25.654, 'total_debt_mrq': 37923999744, 'total_debt_to_equity_mrq': 24.76, 'current_ratio_mrq': 2.671, 'book_value_per_share_mrq': 59.808}, 'cash_flow': {'operating_cash_flow_ttm': 71112998912, 'levered_free_cash_flow_ttm': 32474124288}}","{'shares_outstanding': 2200049920, 'float_shares': 2181984842, 'avg_10_volume': 14596870, 'avg_90_volume': 20872667, 'shares_short': 29870273, 'short_ratio': 1.32, 'short_percent_of_shares_outstanding': 0.0136, 'percent_held_by_insiders': 0.00161, 'percent_held_by_institutions': 0.79619}","{'fifty_two_week_low': 174.82, 'fifty_two_week_high': 523.55, 'fifty_two_week_change': 65.698, 'beta': 1.208, 'day_50_ma': 420.4288, 'day_200_ma': 332.95724}","{'forward_annual_dividend_rate': 2, 'forward_annual_dividend_yield': 0.0038243111459548345, 'trailing_annual_dividend_rate': 0.5, 'trailing_annual_dividend_yield': 0.0009560777864887086, '5_year_average_dividend_yield': None, 'payout_ratio': 0, 'dividend_date': '2024-03-26', 'ex_dividend_date': '2024-02-21', 'last_split_factor': None, 'last_split_date': None}",META,"Meta Platforms, Inc.",USD,NASDAQ,XNGS,America/New_York
"{'market_capitalization': 870574850048, 'enterprise_value': -23994359808, 'trailing_pe': 9.091505, 'forward_pe': 20.870852, 'peg_ratio': 20.870852, 'price_to_sales_ttm': 2.3885262, 'price_to_book_mrq': 0.0010337469, 'enterprise_to_revenue': -0.066, 'enterprise_to_ebitda': -0.177}","{'fiscal_year_ends': '2023-12-31', 'most_recent_quarter': '2023-12-31', 'profit_margin': 0.264, 'operating_margin': 0.51085997, 'return_on_assets_ttm': 0.076290004, 'return_on_equity_ttm': 0.18461001, 'income_statement': {'revenue_ttm': 364482002944, 'revenue_per_share_ttm': 251561.2, 'quarterly_revenue_growth': 0.196, 'gross_profit_ttm': 0, 'ebitda': 135681998848, 'net_income_to_common_ttm': 96223002624, 'diluted_eps_ttm': 44.26, 'quarterly_earnings_growth_yoy': 1.078}, 'balance_sheet': {'total_cash_mrq': 167641006080, 'total_cash_per_share_mrq': 116377.6, 'total_debt_mrq': 133570002944, 'total_debt_to_equity_mrq': 23.402, 'current_ratio_mrq': 3.444, 'book_value_per_share_mrq': 389253.9}, 'cash_flow': {'operating_cash_flow_ttm': 49195999232, 'levered_free_cash_flow_ttm': 69802622976}}","{'shares_outstanding': 1310800000, 'float_shares': 1217317, 'avg_10_volume': 4516320, 'avg_90_volume': 3711610, 'shares_short': 8299570, 'short_ratio': 2.5, 'short_percent_of_shares_outstanding': 0.0070999996, 'percent_held_by_insiders': 0.0036300002, 'percent_held_by_institutions': 0.66293}","{'fifty_two_week_low': 292.42, 'fifty_two_week_high': 430, 'fifty_two_week_change': 24.265, 'beta': 0.894, 'day_50_ma': 384.3838, 'day_200_ma': 357.59845}","{'forward_annual_dividend_rate': None, 'forward_annual_dividend_yield': None, 'trailing_annual_dividend_rate': 0, 'trailing_annual_dividend_yield': 0, '5_year_average_dividend_yield': None, 'payout_ratio': 0, 'dividend_date': None, 'ex_dividend_date': None, 'last_split_factor': '50-for-1 split', 'last_split_date': '2010-01-21'}",BRK.B,Berkshire Hathaway Inc,USD,NYSE,XNYS,America/New_York
"{'market_capitalization': 741279924224, 'enterprise_value': 725789900800, 'trailing_pe': 135.2097, 'forward_pe': 42.818882, 'peg_ratio': 42.818882, 'price_to_sales_ttm': 21.723063, 'price_to_book_mrq': 65.138176, 'enterprise_to_revenue': 21.269, 'enterprise_to_ebitda': 58.937}","{'fiscal_year_ends': '2023-12-31', 'most_recent_quarter': '2023-12-31', 'profit_margin': 0.15357, 'operating_margin': 0.34138, 'return_on_assets_ttm': 0.11881, 'return_on_equity_ttm': 0.48435003, 'income_statement': {'revenue_ttm': 34124099584, 'revenue_per_share_ttm': 37.908, 'quarterly_revenue_growth': 0.281, 'gross_profit_ttm': 27041900000, 'ebitda': 12455500000, 'net_income_to_common_ttm': 5240399872, 'diluted_eps_ttm': 5.77, 'quarterly_earnings_growth_yoy': 0.13}, 'balance_sheet': {'total_cash_mrq': 3041499904, 'total_cash_per_share_mrq': 3.379, 'total_debt_mrq': 26467299328, 'total_debt_to_equity_mrq': 243.631, 'current_ratio_mrq': 0.943, 'book_value_per_share_mrq': 11.977}, 'cash_flow': {'operating_cash_flow_ttm': 4240100096, 'levered_free_cash_flow_ttm': 236875008}}","{'shares_outstanding': 950163968, 'float_shares': 897607985, 'avg_10_volume': 3173350, 'avg_90_volume': 3622597, 'shares_short': 5152918, 'short_ratio': 1.51, 'short_percent_of_shares_outstanding': 0.0064999997, 'percent_held_by_insiders': 0.00161, 'percent_held_by_institutions': 0.84389}","{'fifty_two_week_low': 314.34, 'fifty_two_week_high': 800.78, 'fifty_two_week_change': 58.796, 'beta': 0.344, 'day_50_ma': 680.8084, 'day_200_ma': 566.4573}","{'forward_annual_dividend_rate': 5.2, 'forward_annual_dividend_yield': 0.006798452044765192, 'trailing_annual_dividend_rate': 4.6899999999999995, 'trailing_annual_dividend_yield': 0.006131680786528605, '5_year_average_dividend_yield': 1.47, 'payout_ratio': 0.7793, 'dividend_date': '2024-03-08', 'ex_dividend_date': '2024-02-14', 'last_split_factor': '2-for-1 split', 'last_split_date': '1997-10-16'}",LLY,Eli Lilly & Co,USD,NYSE,XNYS,America/New_York
"{'market_capitalization': 773901910016, 'enterprise_value': 101351470989, 'trailing_pe': 29.08382, 'forward_pe': 21.223328, 'peg_ratio': 21.223328, 'price_to_sales_ttm': 0.35800022, 'price_to_book_mrq': 1.1185749, 'enterprise_to_revenue': 1.477, 'enterprise_to_ebitda': 2.209}","{'fiscal_year_ends': '2023-12-31', 'most_recent_quarter': '2023-12-31', 'profit_margin': 0.38787997, 'operating_margin': 0.41597998, 'return_on_assets_ttm': 0.10973, 'return_on_equity_ttm': 0.26002002, 'income_statement': {'revenue_ttm': 68635114602, 'revenue_per_share_ttm': 52.106876, 'quarterly_revenue_growth': 0, 'gross_profit_ttm': 0, 'ebitda': 45875241418, 'net_income_to_common_ttm': 26622300864, 'diluted_eps_ttm': 5.13, 'quarterly_earnings_growth_yoy': -0.193}, 'balance_sheet': {'total_cash_mrq': 53582709882, 'total_cash_per_share_mrq': 65.079, 'total_debt_mrq': 31318284206, 'total_debt_to_equity_mrq': 28.318, 'current_ratio_mrq': 2.402, 'book_value_per_share_mrq': 133.384}, 'cash_flow': {'operating_cash_flow_ttm': 39432463745, 'levered_free_cash_flow_ttm': 2625057374}}","{'shares_outstanding': 5187010048, 'float_shares': 24174913869, 'avg_10_volume': 16588290, 'avg_90_volume': 14856020, 'shares_short': 21824725, 'short_ratio': 1.4, 'short_percent_of_shares_outstanding': None, 'percent_held_by_insiders': 3.0000001e-05, 'percent_held_by_institutions': 0.17253}","{'fifty_two_week_low': 81.21, 'fifty_two_week_high': 157.56, 'fifty_two_week_change': 44.545, 'beta': 1.232, 'day_50_ma': 118.1112, 'day_200_ma': 101.3767}","{'forward_annual_dividend_rate': 1.916, 'forward_annual_dividend_yield': 0.012185969598677097, 'trailing_annual_dividend_rate': 1.847, 'trailing_annual_dividend_yield': 0.011747122050499268, '5_year_average_dividend_yield': 2.32, 'payout_ratio': 0.353, 'dividend_date': '2024-07-11', 'ex_dividend_date': '2024-03-18', 'last_split_factor': '1005-for-1000 split', 'last_split_date': '2009-07-15'}",TSM,Taiwan Semiconductor Manufacturing Co Ltd,USD,NYSE,XNYS,America/New_York
"{'market_capitalization': 652037980160, 'enterprise_value': 607660081152, 'trailing_pe': 42.740284, 'forward_pe': 25.111727, 'peg_ratio': 25.111727, 'price_to_sales_ttm': 18.20369, 'price_to_book_mrq': 23.758633, 'enterprise_to_revenue': 16.965, 'enterprise_to_ebitda': 30.078}","{'fiscal_year_ends': '2023-10-29', 'most_recent_quarter': '2023-10-31', 'profit_margin': 0.39314, 'operating_margin': 0.31765, 'return_on_assets_ttm': 0.14077, 'return_on_equity_ttm': 0.60312, 'income_statement': {'revenue_ttm': 35818999808, 'revenue_per_share_ttm': 86.311, 'quarterly_revenue_growth': 0.164, 'gross_profit_ttm': 24690000000, 'ebitda': 20787000000, 'net_income_to_common_ttm': 14081999872, 'diluted_eps_ttm': 32.92, 'quarterly_earnings_growth_yoy': 1.727}, 'balance_sheet': {'total_cash_mrq': 11105000448, 'total_cash_per_share_mrq': 27.019, 'total_debt_mrq': 40456998912, 'total_debt_to_equity_mrq': 166.032, 'current_ratio_mrq': 2.815, 'book_value_per_share_mrq': 59.221}, 'cash_flow': {'operating_cash_flow_ttm': 18084999168, 'levered_free_cash_flow_ttm': 13452999680}}","{'shares_outstanding': 463420992, 'float_shares': 404608950, 'avg_10_volume': 3105630, 'avg_90_volume': 2773813, 'shares_short': 5093939, 'short_ratio': 1.87, 'short_percent_of_shares_outstanding': 0.0135, 'percent_held_by_insiders': 0.02033, 'percent_held_by_institutions': 0.80473}","{'fifty_two_week_low': 601.29, 'fifty_two_week_high': 1438.17, 'fifty_two_week_change': 54.705, 'beta': 1.273, 'day_50_ma': 1207.225, 'day_200_ma': 962.2662}","{'forward_annual_dividend_rate': 21, 'forward_annual_dividend_yield': 0.015441176470588236, 'trailing_annual_dividend_rate': 19.049999999999997, 'trailing_annual_dividend_yield': 0.014007352941176469, '5_year_average_dividend_yield': 3, 'payout_ratio': 0.5579, 'dividend_date': '2023-12-29', 'ex_dividend_date': '2023-12-19', 'last_split_factor': None, 'last_split_date': None}",AVGO,Broadcom Inc,USD,NASDAQ,XNGS,America/New_York
