fiscal_date,sales,cost_of_goods,gross_profit,operating_income,other_income_expense,pretax_income,income_tax,net_income,eps_basic,eps_diluted,basic_shares_outstanding,diluted_shares_outstanding,ebit,ebitda,net_income_continuous_operations,minority_interests,preferred_stock_dividends,research_and_development,selling_general_and_administrative,other_operating_expenses,income,expense,symbol
30/06/2023,2.11915E+11,65863000000,1.46052E+11,88523000000,-238000000,89311000000,16950000000,72361000000,9.72,9.68,7446000000,7446000000,91279000000,1.05155E+11,72361000000,,,27195000000,30334000000,,2994000000,1968000000,MSFT
30/06/2022,1.9827E+11,62650000000,1.3562E+11,83383000000,302000000,83716000000,10978000000,72738000000,9.7,9.65,7496000000,7496000000,85779000000,99905000000,72738000000,,,24512000000,27725000000,,2094000000,2063000000,MSFT
30/06/2021,1.68088E+11,52232000000,1.15856E+11,69916000000,1401000000,71102000000,9831000000,61271000000,8.12,8.05,7547000000,7547000000,73448000000,83831000000,61271000000,,,20716000000,25224000000,,2131000000,2346000000,MSFT
30/06/2020,1.43015E+11,46078000000,96937000000,52959000000,-12000000,53036000000,8755000000,44281000000,5.82,5.76,7610000000,7610000000,55627000000,68395000000,44281000000,,,19269000000,24709000000,,2680000000,2591000000,MSFT
30/09/2023,3.83285E+11,2.14137E+11,1.69148E+11,1.14301E+11,-382000000,1.13736E+11,16741000000,96995000000,6.16,6.13,15744231000,15744231000,1.17669E+11,1.29188E+11,96995000000,,,29915000000,24932000000,,3750000000,3933000000,AAPL
30/09/2022,3.94328E+11,2.23546E+11,1.70782E+11,1.19437E+11,-228000000,1.19103E+11,19300000000,99803000000,6.15,6.11,16215963000,16215963000,1.22034E+11,1.33138E+11,99803000000,,,26251000000,25094000000,,2825000000,2931000000,AAPL
30/09/2021,3.65817E+11,2.12981E+11,1.52836E+11,1.08949E+11,60000000,1.09207E+11,14527000000,94680000000,5.67,5.61,16701272000,16701272000,1.11852E+11,1.23136E+11,94680000000,,,21914000000,21973000000,,2843000000,2645000000,AAPL
30/09/2020,2.74515E+11,1.69559E+11,1.04956E+11,66288000000,-87000000,67091000000,9680000000,57411000000,3.31,3.28,17352119000,17352119000,69964000000,81020000000,57411000000,,,18752000000,19916000000,,3763000000,2873000000,AAPL
31/01/2024,60922000000,16621000000,44301000000,32972000000,237000000,33818000000,4058000000,29760000000,12.05,11.93,2469000000,2469000000,34075000000,35583000000,29760000000,,,8675000000,2654000000,,866000000,257000000,NVDA
31/01/2023,26974000000,11618000000,15356000000,5577000000,-1401000000,4181000000,-187000000,4368000000,1.76,1.74,2487000000,2487000000,4443000000,7340000000,4368000000,,,7339000000,2440000000,,267000000,262000000,NVDA
31/01/2022,26914000000,9439000000,17475000000,10041000000,107000000,9941000000,189000000,9752000000,3.91,3.85,2496000000,2496000000,10177000000,11351000000,9752000000,,,5268000000,2166000000,,29000000,236000000,NVDA
31/01/2021,16675000000,6279000000,10396000000,4532000000,4000000,4409000000,77000000,4332000000,1.755,1.725,2468000000,2468000000,4593000000,5691000000,4332000000,,,3924000000,1940000000,,57000000,184000000,NVDA
31/12/2023,5.74785E+11,4.8098E+11,93805000000,36852000000,938000000,37557000000,7120000000,30425000000,2.95,2.9,10304000000,10304000000,40739000000,88287000000,30425000000,,,,56186000000,767000000,2949000000,3182000000,AMZN
31/12/2022,5.13983E+11,4.46343E+11,67640000000,12248000000,-16806000000,-5936000000,-3217000000,-2722000000,-0.27,-0.27,10189000000,10189000000,-3569000000,54618000000,-2722000000,,,,54129000000,1263000000,989000000,2367000000,AMZN
31/12/2021,4.69822E+11,4.03507E+11,66315000000,24879000000,14633000000,38151000000,4791000000,33364000000,3.298,3.2405,10120000000,10120000000,39960000000,59741000000,33364000000,,,,41374000000,62000000,448000000,1809000000,AMZN
31/12/2020,3.86064E+11,3.34564E+11,51500000000,22899000000,2371000000,24178000000,2863000000,21331000000,2.132,2.0915,10000000000,10000000000,25825000000,48647000000,21331000000,,,42740000000,28676000000,-75000000,555000000,1647000000,AMZN
31/12/2023,3.07394E+11,1.33332E+11,1.74062E+11,84293000000,-2133000000,85717000000,11922000000,73795000000,5.84,5.8,12630000000,12630000000,86025000000,1.00032E+11,73795000000,,,45427000000,44342000000,,3865000000,308000000,GOOGL
31/12/2022,2.82836E+11,1.26203E+11,1.56633E+11,74842000000,-5331000000,71328000000,11356000000,59972000000,4.59,4.56,13063000000,13063000000,71685000000,91333000000,59972000000,,,39500000000,42291000000,,2174000000,357000000,GOOGL
31/12/2021,2.57637E+11,1.10939E+11,1.46698E+11,78714000000,10867000000,90734000000,14701000000,76033000000,5.694003,5.610003,13352993991,13352993991,91080000000,91491000000,76033000000,,,31562000000,36422000000,,1499000000,346000000,GOOGL
31/12/2020,1.82527E+11,84732000000,97795000000,41224000000,5128000000,48082000000,7813000000,40269000000,2.957501,2.930501,13616313872,13616313872,48217000000,55941000000,40269000000,,,27573000000,28998000000,,1865000000,135000000,GOOGL
31/12/2023,1.34902E+11,25959000000,1.08943E+11,46751000000,-366000000,47428000000,8330000000,39098000000,15.19,14.87,2574000000,2574000000,47874000000,59418000000,39098000000,,,38483000000,23709000000,,1639000000,446000000,META
31/12/2022,1.16609E+11,25249000000,91360000000,28944000000,-81000000,28819000000,5619000000,23200000000,8.63,8.59,2687000000,2687000000,29004000000,37771000000,23200000000,,,35338000000,27078000000,,461000000,185000000,META
31/12/2021,1.17929E+11,22649000000,95280000000,46753000000,-140000000,47284000000,7914000000,39370000000,13.99,13.77,2815000000,2815000000,47307000000,55414000000,39370000000,,,24655000000,23872000000,,484000000,23000000,META
31/12/2020,85965000000,16692000000,69273000000,32671000000,-129000000,33180000000,4034000000,29146000000,10.22,10.09,2851000000,2851000000,32671000000,39662000000,29146000000,,0,18447000000,18155000000,,672000000,,META
31/12/2023,4.39337E+11,,,,2.60587E+11,1.20166E+11,23019000000,97147000000,,,,,1.25169E+11,,97147000000,-924000000,,,28642000000,2.11013E+11,,5003000000,BRK.B
31/12/2022,2.34121E+11,,,,2.11857E+11,-30500000000,-8502000000,-21998000000,-10.329338,-10.329338,2203312898,2203312898,-26148000000,,-21998000000,-761000000,,,25056000000,1.62481E+11,,4352000000,BRK.B
31/12/2021,3.54727E+11,,,,1.93099E+11,1.11861E+11,20912000000,90949000000,39.702687,39.702687,2265268867,2265268867,1.16033E+11,,90949000000,-1012000000,,,23044000000,1.48189E+11,,4172000000,BRK.B
31/12/2020,2.86325E+11,,,,1.68543E+11,55693000000,12440000000,43253000000,17.778676,17.778676,2391702304,2391702304,59776000000,,43253000000,-732000000,,,23329000000,1.30645E+11,,4083000000,BRK.B
31/12/2023,34124100000,7082200000,27041900000,10787300000,-3920400000,6554600000,1314200000,5240400000,5.82,5.8,900181000,900181000,7040500000,12455500000,5240400000,,,9313400000,6941200000,,173600000,485900000,LLY
31/12/2022,28541400000,6629800000,21911600000,8653300000,-1578100000,6806400000,561600000,6244800000,6.93,6.9,901736000,901736000,7138000000,10224300000,6244800000,,,7190800000,6067500000,,62800000,331600000,LLY
31/12/2021,28318400000,7312800000,21005600000,7933000000,-1463100000,6155500000,573800000,5581700000,5.852967,5.852967,953653000,953653000,6495300000,9557400000,5581700000,,,6930700000,6141900000,,25400000,339800000,LLY
31/12/2020,24539800000,5483300000,19056500000,7101400000,455100000,7229900000,1036200000,6193700000,6.47477,6.47477,956590000,956590000,7589500000,8262800000,6193700000,,,6085700000,5869400000,,33000000,359600000,LLY
31/12/2023,,,,,,,,,161.7,161.7,5185514310,5185514310,,,,,,,,,,,TSM
31/12/2022,2.26389E+12,9.15537E+11,1.34835E+12,1.12128E+12,12121100000,1.14407E+12,1.50778E+11,9.93295E+11,191.45,191.45,5185840000,5185840000,1.15582E+12,1.58966E+12,1.14407E+12,-371300000,,1.63262E+11,63445300000,368400000,22422200000,11750000000,TSM
31/12/2021,1.58742E+12,7.67878E+11,8.19537E+11,6.49981E+11,12760500000,6.63036E+11,70155400000,5.92881E+11,114.2,114.2,5186060000,5186060000,6.6845E+11,1.08506E+12,6.63036E+11,-521400000,,1.24735E+11,44488200000,333400000,5708800000,5414200000,TSM
31/12/2020,1.33925E+12,6.28125E+11,7.1113E+11,5.66784E+11,11025700000,5.84746E+11,73738300000,5.11008E+11,98.5,98.5,5186060000,5186060000,5.86828E+11,9.12176E+11,5.84746E+11,-264000000,,1.09486E+11,35570400000,-710000000,9018400000,2081500000,TSM
31/10/2023,35819000000,11129000000,24690000000,16451000000,-267000000,15097000000,1015000000,14082000000,,,415000000,,16719000000,20787000000,14082000000,,,5253000000,1592000000,,535000000,1622000000,AVGO
31/10/2022,33203000000,11108000000,22095000000,14282000000,-211000000,12434000000,939000000,11495000000,27.371401,26.463676,410025054,410025054,14171000000,19381000000,11495000000,,,4919000000,1382000000,,100000000,1737000000,AVGO
31/10/2021,27450000000,10606000000,16844000000,8667000000,-33000000,6765000000,29000000,6736000000,15.66075,14.9625,411027560,411027560,8650000000,14740000000,6736000000,,,4854000000,1347000000,,16000000,1885000000,AVGO
31/10/2020,23888000000,10372000000,13516000000,4212000000,-45000000,2443000000,-518000000,2960000000,6.60345,6.314175,403007510,403007510,4220000000,11176000000,2960000000,0,,4968000000,1935000000,,53000000,1777000000,AVGO
31/12/2023,96773000000,79113000000,17660000000,8891000000,172000000,9973000000,-5001000000,14974000000,,,,,10129000000,14796000000,14974000000,25000000,,3969000000,4800000000,,1066000000,156000000,TSLA
31/12/2022,81462000000,60609000000,20853000000,13832000000,-219000000,13719000000,1132000000,12587000000,4.02,3.62,3130000000,3130000000,13910000000,17833000000,12587000000,-4000000,,3075000000,3946000000,,297000000,191000000,TSLA
31/12/2021,53823000000,40217000000,13606000000,6496000000,162000000,6343000000,699000000,5644000000,1.87,1.63,2959000000,2959000000,6714000000,9598000000,5644000000,-120000000,,2593000000,4517000000,,56000000,371000000,TSLA
31/12/2020,31536000000,24906000000,6630000000,1994000000,-122000000,1154000000,292000000,862000000,0.246667,0.213333,2799000000,2799000000,1902000000,4224000000,862000000,-141000000,,1491000000,3145000000,,30000000,748000000,TSLA
