date,description,ratio,from_factor,to_factor,symbol
2003-02-18,2-for-1 split,0.5,2,1,MSFT
1999-03-29,2-for-1 split,0.5,2,1,MSFT
1998-02-23,2-for-1 split,0.5,2,1,MSFT
1996-12-09,2-for-1 split,0.5,2,1,MSFT
1994-05-23,2-for-1 split,0.5,2,1,MSFT
1992-06-15,3-for-2 split,0.66667,3,2,MSFT
1991-06-27,3-for-2 split,0.66667,3,2,MSFT
1990-04-16,2-for-1 split,0.5,2,1,MSFT
1987-09-21,2-for-1 split,0.5,2,1,MSFT
2020-08-31,4-for-1 split,0.25,4,1,AAPL
2014-06-09,7-for-1 split,0.14286,7,1,AAPL
2005-02-28,2-for-1 split,0.5,2,1,AAPL
2000-06-21,2-for-1 split,0.5,2,1,AAPL
1987-06-16,2-for-1 split,0.5,2,1,AAPL
2021-07-20,4-for-1 split,0.25,4,1,NVDA
2007-09-11,3-for-2 split,0.66667,3,2,NVDA
2006-04-07,2-for-1 split,0.5,2,1,NVDA
2001-09-17,2-for-1 split,0.5,2,1,NVDA
2001-09-12,2-for-1 split,0.5,2,1,NVDA
2000-06-27,2-for-1 split,0.5,2,1,NVDA
2022-06-06,20-for-1 split,0.05,20,1,AMZN
1999-09-02,2-for-1 split,0.5,2,1,AMZN
1999-01-05,3-for-1 split,0.33333,3,1,AMZN
1998-06-02,2-for-1 split,0.5,2,1,AMZN
2022-07-18,20-for-1 split,0.05,20,1,GOOGL
2014-04-03,1998-for-1000 split,0.5005,1998,1000,GOOGL
2010-01-21,50-for-1 split,0.02,50,1,BRK.B
1997-10-16,2-for-1 split,0.5,2,1,LLY
1995-12-21,2-for-1 split,0.5,2,1,LLY
1989-05-01,2-for-1 split,0.5,2,1,LLY
1986-01-30,2-for-1 split,0.5,2,1,LLY
2009-07-15,1005-for-1000 split,0.99502,1005,1000,TSM
2008-07-16,1-for-1 split,1.0,1,1,TSM
2007-06-08,1-for-1 split,1.0,1,1,TSM
2006-06-20,103-for-100 split,0.97087,103,100,TSM
2005-06-13,105-for-100 split,0.95238,105,100,TSM
2004-06-14,114-for-100 split,0.87719,114,100,TSM
2003-07-07,108-for-100 split,0.92593,108,100,TSM
2002-06-19,11-for-10 split,0.90909,11,10,TSM
2001-06-26,140-for-100 split,0.71429,140,100,TSM
2000-05-15,128-for-100 split,0.78125,128,100,TSM
1999-08-16,123-for-100 split,0.81301,123,100,TSM
2022-08-25,3-for-1 split,0.33333,3,1,TSLA
2020-08-31,5-for-1 split,0.2,5,1,TSLA
2015-03-19,4-for-1 split,0.25,4,1,V
2023-09-20,2-for-1 split,0.5,2,1,NVO
2014-01-09,5-for-1 split,0.2,5,1,NVO
